name,brand,os,cpu_brand,cpu_name,cpu_type,cpu_cores,cpu_threads,gpu_brand,gpu_name,gpu_vram,ram_capacity,ram_ddr_type,hdd,ssd,screen_size,aspect_ratio_category,screen_res,ppi,touchscreen,spec_score,user_rating,price
dell vostro 3400 laptop (11th gen core i3/ 8gb/ 1tb hdd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,1024,0,14,Widescreen (16:10),HD+,157.35,0,53,4.55,48499
dell latitude 3420 d552299win9be laptop (11th gen core i3/ 8gb/ 256gb ssd/ win11 pro),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,256,14,Widescreen (16:10),SD,111.94,0,48,4.75,45990
dell inspiron 5418 laptop (11th gen core i5/ 16gb/ 512gb ssd/ win 11/2gb graph),dell,windows,intel,core i5 11300h,h,4,8,nvidia,geforce mx450,2,16,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,56,4.2,58000
dell g15-5521 se laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11 home/ 8gb graph),dell,windows,intel,core i7 12700h,h,14,20,nvidia,geforce rtx 3070 ti,8,16,ddr5,0,1024,15.6,Widescreen (16:10),3K+,188.28,0,79,4.25,160490
dell latitude 3420 laptop (11th gen core i3/ 16gb/ 256gb ssd/ ubuntu),dell,ubuntu,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,16,NULL,0,256,14,Widescreen (16:10),SD,111.94,0,48,4.6,36600
dell vostro 3425 d552305win9be laptop (amd ryzen 3 5425u/ 8gb/ 256gb ssd/ win11 home),dell,windows,amd,ryzen 3 5425u,u,4,8,amd,integrated,0,8,ddr4,0,256,14,Widescreen (16:10),HD+,157.35,0,52,4.25,31919
dell inspiron 3525 d560831win9se laptop (amd ryzen 3 3250u/ 8gb/ 256gb ssd/ win11),dell,windows,amd,ryzen 3 3250u,u,2,4,amd,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,52,4.1,36690
dell vostro 3425 d552309win9be laptop (amd ryzen 3 5425u/ 8gb/ 512gb ssd/ win11 home),dell,windows,amd,ryzen 3 5425u,u,4,8,amd,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,53,4.4,34999
dell inspiron 5410 icc-c782512win8 laptop (11th gen core i5/ 8gb/ 512gb ssd/ win11),dell,windows,intel,core i5 11320h,h,4,8,intel,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,1,63,4.2,71200
dell inspiron 3525 laptop (amd ryzen 3 3250u/ 8gb/ 1tb 256gb ssd/ win11),dell,windows,amd,ryzen 3 3250u,u,2,4,amd,integrated,0,8,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,54,4.05,34990
dell inspiron g15 5510 laptop (10th gen core i5/ 16gb/ 512gb ssd/ win 10/ 4gb graph),dell,windows,intel,core i5 10200h,h,4,NULL,nvidia,geforce rtx 3050 ti,4,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,61,4.6,90049
dell inspiron 7620 laptop (12th gen core i5/ 8gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1235u,u,10,12,intel,integrated,0,8,ddr4,0,512,16,Widescreen (16:10),HD+,141.51,1,57,4.5,56840
dell inspiron 3511 d560803win9b laptop (11th gen core i5/ 8gb/ 1tb 256gb ssd/ win11),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,8,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,53,4,52499
dell xps 13 plus 9320 laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11),dell,windows,intel,core i7 1260p,p,12,16,intel,integrated,0,16,NULL,0,1024,13.4,Widescreen (16:10),3K+,337.93,1,70,4.25,154990
dell vostro 3420 d552276win9be laptop (11th gen core i3/ 8gb/ 512gb ssd/ win11),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),SD,111.94,0,45,4.15,36490
dell vostro 5625 laptop (ryzen 5-5625u/ 8gb/ 512gb ssd/ windows 11),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,8,ddr4,0,512,16,Widescreen (16:10),HD+,141.51,0,63,4.05,79287
